IdCliente,Correo Electrónico,Nombre Cliente,Apellido Cliente,Fecha Nacimiento,Estado Civil,Genero,Ingreso Anual,Numero de Hijos,Nivel Educativo Cliente,Ocupacion,Propietario Casa,Nivel Ingreso Anual
1369,adriana17@adventure-works.com,ADRIANA,LOPEZ,1972-04-24,Soltero,F,70000,0,Universitaria Completa,Independiente,Si,Alta
1381,monica4@adventure-works.com,MONICA,VANCE,1984-09-24,Soltero,F,70000,0,Universitaria Completa,Independiente,No,Alta
1388,julia25@adventure-works.com,JULIA,JONES,1971-06-27,Soltero,F,70000,4,Universitaria Completa,Independiente,Si,Alta
1389,rebecca8@adventure-works.com,REBECCA,PHILLIPS,1971-07-04,Soltero,F,70000,0,Universitaria Completa,Independiente,No,Alta
1392,jenna7@adventure-works.com,JENNA,PARKER,1970-11-08,Soltero,F,70000,1,Universitaria Completa,Independiente,No,Alta
1401,gloria12@adventure-works.com,GLORIA,TORRES,1965-09-21,Casado,F,70000,3,Universitaria Incompleta,Independiente,Si,Alta
1404,elizabeth21@adventure-works.com,ELIZABETH,MARTINEZ,1964-10-13,Casado,F,70000,3,Universitaria Incompleta,Independiente,No,Alta
1411,sarah31@adventure-works.com,SARAH,COLEMAN,1962-09-26,Casado,F,70000,3,Secundaria Completa,Independiente,Si,Alta
1488,kelli23@adventure-works.com,KELLI,SHE,1984-03-07,Casado,F,70000,0,Universitaria Completa,Independiente,Si,Alta
1611,melissa5@adventure-works.com,MELISSA,PATTERSON,1984-07-13,Soltero,F,70000,0,Universitaria Completa,Independiente,Si,Alta
1633,nichole2@adventure-works.com,NICHOLE,SHEN,1975-09-06,Soltero,F,70000,5,Universitaria Completa,Independiente,Si,Alta
1636,krystal20@adventure-works.com,KRYSTAL,HU,1973-12-11,Soltero,F,70000,0,Universitaria Completa,Independiente,No,Alta
1652,jaclyn19@adventure-works.com,JACLYN,GUO,1974-01-27,Soltero,F,70000,0,Universitaria Completa,Independiente,No,Alta
1667,melissa12@adventure-works.com,MELISSA,GONZALES,1964-11-12,Soltero,F,70000,3,Universitaria Incompleta,Independiente,Si,Alta
1691,faith23@adventure-works.com,FAITH,BROOKS,1979-01-24,Soltero,F,70000,3,Universitaria Postgrado,Independiente,No,Alta
1694,cindy26@adventure-works.com,CINDY,JAMES,1974-12-26,Soltero,F,70000,4,Universitaria Postgrado,Independiente,Si,Alta
1781,morgan22@adventure-works.com,MORGAN,YOUNG,1983-05-26,Casado,F,70000,0,Universitaria Completa,Independiente,Si,Alta
1788,stacy4@adventure-works.com,STACY,DIAZ,1985-01-22,Soltero,F,70000,0,Universitaria Completa,Independiente,Si,Alta
1796,maria25@adventure-works.com,MARIA,WOOD,1985-02-08,Casado,F,70000,0,Universitaria Completa,Independiente,Si,Alta
1807,sarah19@adventure-works.com,SARAH,MARTINEZ,1983-10-07,Soltero,F,70000,0,Universitaria Completa,Independiente,No,Alta
1826,anne22@adventure-works.com,ANNE,ORTEGA,1973-07-21,Soltero,F,70000,0,Universitaria Completa,Independiente,No,Alta
1843,kelli44@adventure-works.com,KELLI,RAJI,1972-07-21,Soltero,F,70000,0,Universitaria Completa,Independiente,No,Alta
1844,lydia0@adventure-works.com,LYDIA,SURI,1972-04-22,Soltero,F,70000,0,Universitaria Completa,Independiente,No,Alta
1845,colleen1@adventure-works.com,COLLEEN,WEST,1972-07-10,Soltero,F,70000,0,Universitaria Completa,Independiente,No,Alta
1846,joy16@adventure-works.com,JOY,RAMOS,1972-08-18,Soltero,F,70000,0,Universitaria Completa,Independiente,Si,Alta
1893,anna30@adventure-works.com,ANNA,COLEMAN,1974-06-26,Casado,F,70000,4,Universitaria Postgrado,Independiente,Si,Alta
1903,riley33@adventure-works.com,RILEY,MORGAN,1977-05-30,Casado,F,70000,5,Universitaria Postgrado,Independiente,No,Alta
1911,sheila2@adventure-works.com,SHEILA,RUIZ,1971-06-20,Soltero,F,70000,4,Universitaria Completa,Independiente,No,Alta
1912,elizabeth42@adventure-works.com,ELIZABETH,WEST,1977-01-24,Soltero,F,70000,0,Universitaria Completa,Independiente,No,Alta
1923,olivia58@adventure-works.com,OLIVIA,FLORES,1967-09-10,Soltero,F,70000,1,Universitaria Postgrado,Independiente,No,Alta
1952,vanessa19@adventure-works.com,VANESSA,BRYANT,1977-05-22,Casado,F,70000,5,Universitaria Postgrado,Independiente,Si,Alta
1975,sara16@adventure-works.com,SARA,MURPHY,1974-10-04,Casado,F,70000,4,Universitaria Postgrado,Independiente,Si,Alta
1999,alexia6@adventure-works.com,ALEXIA,COLEMAN,1962-07-24,Soltero,F,70000,3,Secundaria Completa,Independiente,Si,Alta
2125,whitney0@adventure-works.com,WHITNEY,SURI,1972-04-25,Soltero,F,70000,0,Universitaria Completa,Independiente,Si,Alta
2137,lindsey6@adventure-works.com,LINDSEY,LUO,1965-03-24,Casado,F,70000,2,Secundaria Completa,Independiente,Si,Alta
2156,chelsea15@adventure-works.com,CHELSEA,MEHTA,1971-09-21,Soltero,F,70000,0,Universitaria Completa,Independiente,Si,Alta
2164,yolanda8@adventure-works.com,YOLANDA,SHARMA,1981-04-29,Soltero,F,70000,0,Universitaria Incompleta,Independiente,No,Alta
2169,natalie51@adventure-works.com,NATALIE,PARKER,1967-12-30,Soltero,F,70000,2,Universitaria Postgrado,Independiente,No,Alta
2267,jordyn14@adventure-works.com,JORDYN,BUTLER,1981-05-15,Soltero,F,70000,0,Universitaria Incompleta,Independiente,Si,Alta
2269,alicia1@adventure-works.com,ALICIA,SHEN,1952-11-11,Casado,F,70000,5,Secundaria Completa,Independiente,Si,Alta
2284,jordan48@adventure-works.com,JORDAN,KING,1960-05-11,Casado,F,70000,4,Universitaria Incompleta,Independiente,Si,Alta
2293,sara5@adventure-works.com,SARA,PETERSON,1964-03-13,Soltero,F,70000,4,Secundaria Completa,Independiente,Si,Alta
2300,katherine27@adventure-works.com,KATHERINE,WOOD,1962-09-14,Casado,F,70000,3,Secundaria Completa,Independiente,Si,Alta
2422,kelsey1@adventure-works.com,KELSEY,SHEN,1976-05-06,Soltero,F,70000,0,Universitaria Completa,Independiente,Si,Alta
2427,barbara26@adventure-works.com,BARBARA,LIANG,1972-02-01,Soltero,F,70000,0,Universitaria Completa,Independiente,Si,Alta
2441,savannah40@adventure-works.com,SAVANNAH,YOUNG,1971-06-25,Soltero,F,70000,4,Universitaria Completa,Independiente,Si,Alta
2459,alyssa4@adventure-works.com,ALYSSA,DAVIS,1960-01-30,Soltero,F,70000,2,Secundaria Completa,Independiente,Si,Alta
2463,jennifer40@adventure-works.com,JENNIFER,JACKSON,1960-07-19,Soltero,F,70000,5,Universitaria Incompleta,Independiente,Si,Alta
2510,candice20@adventure-works.com,CANDICE,ZHU,1971-04-26,Soltero,F,70000,0,Universitaria Completa,Independiente,No,Alta
2517,kellie8@adventure-works.com,KELLIE,NAVARRO,1983-10-20,Casado,F,70000,0,Universitaria Completa,Independiente,Si,Alta
2518,brandi18@adventure-works.com,BRANDI,SUAREZ,1984-08-08,Casado,F,70000,0,Universitaria Completa,Independiente,No,Alta
2524,latoya1@adventure-works.com,LATOYA,DENG,1976-06-11,Soltero,F,70000,0,Universitaria Completa,Independiente,No,Alta
2534,martha9@adventure-works.com,MARTHA,YE,1965-06-14,Soltero,F,70000,2,Secundaria Completa,Independiente,Si,Alta
2555,grace13@adventure-works.com,GRACE,HARRIS,1977-08-02,Casado,F,70000,5,Universitaria Postgrado,Independiente,Si,Alta
2604,tiffany5@adventure-works.com,TIFFANY,YANG,1972-11-13,Soltero,F,70000,0,Universitaria Completa,Independiente,Si,Alta
2627,nicole37@adventure-works.com,NICOLE,COX,1972-01-29,Soltero,F,70000,0,Universitaria Completa,Independiente,No,Alta
131,michele9@adventure-works.com,MICHELE,LAL,1952-11-22,Soltero,F,90000,5,Universitaria Incompleta,Independiente,No,Alta
153,sharon23@adventure-works.com,SHARON,RAI,1975-01-18,Soltero,F,90000,0,Universitaria Completa,Independiente,Si,Alta
154,valerie25@adventure-works.com,VALERIE,SHE,1974-06-25,Casado,F,90000,0,Universitaria Completa,Independiente,Si,Alta
160,victoria29@adventure-works.com,VICTORIA,COOK,1979-04-23,Soltero,F,90000,0,Universitaria Completa,Independiente,No,Alta
262,julia72@adventure-works.com,JULIA,COLEMAN,1968-12-28,Soltero,F,90000,4,Secundaria Completa,Independiente,No,Alta
274,kaitlyn45@adventure-works.com,KAITLYN,LEE,1973-12-07,Soltero,F,90000,4,Universitaria Incompleta,Independiente,Si,Alta
292,krista0@adventure-works.com,KRISTA,MARTIN,1959-11-18,Casado,F,90000,4,Secundaria Completa,Independiente,No,Alta
307,ashley37@adventure-works.com,ASHLEY,PATTERSON,1967-08-30,Soltero,F,90000,1,Universitaria Completa,Independiente,Si,Alta
309,regina6@adventure-works.com,REGINA,ARTHUR,1983-12-29,Soltero,F,90000,0,Universitaria Completa,Independiente,No,Alta
316,erika6@adventure-works.com,ERIKA,ROMERO,1982-02-22,Casado,F,90000,0,Universitaria Completa,Independiente,Si,Alta
322,anna22@adventure-works.com,ANNA,WATSON,1976-03-01,Soltero,F,90000,2,Universitaria Completa,Independiente,Si,Alta
353,trinity9@adventure-works.com,TRINITY,RICHARDSON,1972-11-28,Casado,F,90000,5,Universitaria Incompleta,Independiente,Si,Alta
377,denise4@adventure-works.com,DENISE,KAPOOR,1975-12-26,Soltero,F,90000,3,Universitaria Completa,Independiente,Si,Alta
391,mackenzie33@adventure-works.com,MACKENZIE,HILL,1974-04-08,Soltero,F,90000,0,Universitaria Completa,Independiente,Si,Alta
453,jaclyn0@adventure-works.com,JACLYN,ZHANG,1972-02-10,Soltero,F,90000,0,Universitaria Incompleta,Independiente,Si,Alta
521,taylor14@adventure-works.com,TAYLOR,HOWARD,1972-07-22,Soltero,F,90000,0,Universitaria Incompleta,Independiente,No,Alta
621,abby17@adventure-works.com,ABBY,SANCHEZ,1980-10-09,Casado,F,90000,0,Universitaria Completa,Independiente,Si,Alta
653,makayla8@adventure-works.com,MAKAYLA,JAMES,1963-12-09,Casado,F,90000,2,Secundaria Completa,Independiente,Si,Alta
763,jill30@adventure-works.com,JILL,ORTEGA,1976-03-14,Casado,F,90000,2,Universitaria Completa,Independiente,Si,Alta
866,alyssa12@adventure-works.com,ALYSSA,WHITE,1972-03-23,Soltero,F,90000,0,Universitaria Incompleta,Independiente,No,Alta
892,taylor30@adventure-works.com,TAYLOR,HENDERSON,1962-08-06,Soltero,F,90000,4,Secundaria Completa,Independiente,Si,Alta
893,kristi17@adventure-works.com,KRISTI,KAPOOR,1962-09-01,Casado,F,90000,4,Secundaria Completa,Independiente,Si,Alta
958,aimee0@adventure-works.com,AIMEE,ZHANG,1978-05-04,Soltero,F,90000,2,Universitaria Completa,Independiente,Si,Alta
961,bridget21@adventure-works.com,BRIDGET,GOEL,1975-07-22,Casado,F,90000,3,Universitaria Completa,Independiente,Si,Alta
962,erica13@adventure-works.com,ERICA,SUN,1975-05-10,Casado,F,90000,3,Universitaria Completa,Independiente,Si,Alta
971,yolanda18@adventure-works.com,YOLANDA,GOEL,1981-12-23,Casado,F,90000,0,Universitaria Completa,Independiente,No,Alta
1307,janet27@adventure-works.com,JANET,ORTEGA,1978-09-24,Casado,F,90000,2,Universitaria Completa,Independiente,Si,Alta
1309,jaime12@adventure-works.com,JAIME,GUTIERREZ,1981-08-07,Casado,F,90000,0,Universitaria Completa,Independiente,Si,Alta
1334,meagan8@adventure-works.com,MEAGAN,MADAN,1974-08-10,Soltero,F,90000,0,Universitaria Completa,Independiente,No,Alta
1337,candace12@adventure-works.com,CANDACE,RAMAN,1974-09-20,Soltero,F,90000,0,Universitaria Completa,Independiente,No,Alta
1387,morgan9@adventure-works.com,MORGAN,PEREZ,1934-02-09,Soltero,F,90000,5,Universitaria Completa,Independiente,Si,Alta
1405,jessica71@adventure-works.com,JESSICA,WALKER,1971-07-14,Soltero,F,90000,0,Universitaria Incompleta,Independiente,Si,Alta
1465,isabella80@adventure-works.com,ISABELLA,HALL,1961-05-23,Soltero,F,90000,3,Universitaria Incompleta,Independiente,Si,Alta
1489,ebony21@adventure-works.com,EBONY,PEREZ,1982-04-20,Soltero,F,90000,0,Universitaria Completa,Independiente,Si,Alta
1490,jill31@adventure-works.com,JILL,MURPHY,1981-10-23,Soltero,F,90000,0,Universitaria Completa,Independiente,Si,Alta
1491,tracy19@adventure-works.com,TRACY,BLACK,1981-06-26,Soltero,F,90000,0,Universitaria Completa,Independiente,No,Alta
1492,jaclyn30@adventure-works.com,JACLYN,YUAN,1981-12-30,Casado,F,90000,0,Universitaria Completa,Independiente,Si,Alta
1493,kelsey15@adventure-works.com,KELSEY,NARA,1982-01-08,Casado,F,90000,0,Universitaria Completa,Independiente,Si,Alta
1496,kelsey8@adventure-works.com,KELSEY,LAL,1979-10-31,Casado,F,90000,0,Universitaria Completa,Independiente,No,Alta
1497,heather8@adventure-works.com,HEATHER,ZHOU,1980-03-05,Casado,F,90000,0,Universitaria Completa,Independiente,No,Alta
1498,kara11@adventure-works.com,KARA,PAL,1979-02-02,Soltero,F,90000,0,Universitaria Completa,Independiente,No,Alta
1615,michele63@adventure-works.com,MICHELE,MADAN,1982-09-14,Soltero,F,90000,0,Universitaria Completa,Independiente,Si,Alta
1617,trisha3@adventure-works.com,TRISHA,ZHOU,1981-01-04,Soltero,F,90000,0,Universitaria Completa,Independiente,Si,Alta
1619,stacy10@adventure-works.com,STACY,NAVARRO,1980-10-21,Soltero,F,90000,0,Universitaria Completa,Independiente,Si,Alta
1620,tamara23@adventure-works.com,TAMARA,PAL,1980-12-22,Soltero,F,90000,0,Universitaria Completa,Independiente,No,Alta
1758,lacey41@adventure-works.com,LACEY,YUAN,1982-10-12,Soltero,F,90000,0,Universitaria Completa,Independiente,Si,Alta
1778,julia68@adventure-works.com,JULIA,WOOD,1979-11-08,Soltero,F,90000,0,Universitaria Completa,Independiente,No,Alta
1784,summer6@adventure-works.com,SUMMER,MADAN,1983-05-10,Casado,F,90000,0,Universitaria Completa,Independiente,No,Alta
1794,jaclyn28@adventure-works.com,JACLYN,XU,1980-06-08,Casado,F,90000,0,Universitaria Completa,Independiente,Si,Alta
1823,jaclyn4@adventure-works.com,JACLYN,LIU,1978-07-30,Casado,F,90000,2,Universitaria Completa,Independiente,Si,Alta
1825,whitney10@adventure-works.com,WHITNEY,RANA,1974-07-08,Soltero,F,90000,0,Universitaria Completa,Independiente,No,Alta
1848,briana3@adventure-works.com,BRIANA,DIAZ,1967-11-18,Casado,F,90000,1,Universitaria Completa,Independiente,Si,Alta
1986,jasmine9@adventure-works.com,JASMINE,THOMAS,1972-12-07,Casado,F,90000,5,Universitaria Incompleta,Independiente,Si,Alta
2000,victoria4@adventure-works.com,VICTORIA,JONES,1969-10-04,Soltero,F,90000,4,Secundaria Completa,Independiente,Si,Alta
2106,gloria17@adventure-works.com,GLORIA,SERRANO,1982-08-13,Soltero,F,90000,0,Universitaria Completa,Independiente,No,Alta
2198,hannah18@adventure-works.com,HANNAH,RODRIGUEZ,1971-12-27,Soltero,F,90000,0,Universitaria Incompleta,Independiente,No,Alta
2277,lauren53@adventure-works.com,LAUREN,COLEMAN,1973-09-09,Casado,F,90000,5,Universitaria Incompleta,Independiente,Si,Alta
2285,bailey35@adventure-works.com,BAILEY,ADAMS,1972-11-05,Casado,F,90000,5,Universitaria Incompleta,Independiente,Si,Alta
2296,jessie33@adventure-works.com,JESSIE,VAZQUEZ,1964-05-28,Soltero,F,90000,2,Universitaria Incompleta,Independiente,Si,Alta
2339,isabel3@adventure-works.com,ISABEL,BARNES,1962-10-05,Soltero,F,90000,3,Secundaria Completa,Independiente,Si,Alta
2383,nancy10@adventure-works.com,NANCY,ARUN,1978-11-09,Casado,F,90000,2,Universitaria Completa,Independiente,Si,Alta
2404,michele1@adventure-works.com,MICHELE,DENG,1977-03-22,Casado,F,90000,2,Universitaria Completa,Independiente,Si,Alta
2407,natasha2@adventure-works.com,NATASHA,RUIZ,1967-05-30,Soltero,F,90000,1,Universitaria Completa,Independiente,Si,Alta
2462,paula20@adventure-works.com,PAULA,CARLSON,1970-10-29,Soltero,F,90000,5,Universitaria Incompleta,Independiente,Si,Alta
2466,gail7@adventure-works.com,GAIL,GRIFFIN,1971-03-23,Soltero,F,90000,0,Universitaria Incompleta,Independiente,Si,Alta
2511,michele11@adventure-works.com,MICHELE,JAI,1967-01-02,Soltero,F,90000,2,Universitaria Completa,Independiente,Si,Alta
2522,kaylee30@adventure-works.com,KAYLEE,GONZALEZ,1978-12-26,Soltero,F,90000,0,Universitaria Completa,Independiente,No,Alta
2542,kaylee21@adventure-works.com,KAYLEE,EDWARDS,1981-10-02,Soltero,F,90000,0,Universitaria Completa,Independiente,No,Alta
2545,isabella62@adventure-works.com,ISABELLA,DAVIS,1976-01-14,Soltero,F,90000,2,Universitaria Completa,Independiente,No,Alta
2566,chloe86@adventure-works.com,CHLOE,GRIFFIN,1972-01-09,Soltero,F,90000,0,Universitaria Incompleta,Independiente,No,Alta
2569,paula17@adventure-works.com,PAULA,VAZQUEZ,1970-11-18,Soltero,F,90000,5,Universitaria Incompleta,Independiente,No,Alta
2605,casey3@adventure-works.com,CASEY,XIE,1968-01-09,Soltero,F,90000,1,Universitaria Completa,Independiente,Si,Alta
2615,diane14@adventure-works.com,DIANE,ROMERO,1977-12-26,Casado,F,90000,2,Universitaria Completa,Independiente,Si,Alta
123,gabriella44@adventure-works.com,GABRIELLA,LOPEZ,1965-01-01,Soltero,F,80000,3,Universitaria Incompleta,Independiente,Si,Alta
155,mindy9@adventure-works.com,MINDY,XU,1974-05-08,Casado,F,100000,0,Universitaria Completa,Independiente,No,Alta
161,meredith31@adventure-works.com,MEREDITH,ALONSO,1980-04-24,Casado,F,120000,0,Secundaria Incompleta,Independiente,No,Alta
261,victoria24@adventure-works.com,VICTORIA,STEWART,1973-06-13,Casado,F,100000,4,Universitaria Incompleta,Independiente,Si,Alta
293,cassie11@adventure-works.com,CASSIE,ANDERSEN,1963-12-29,Soltero,F,130000,3,Universitaria Incompleta,Independiente,No,Alta
318,kristine14@adventure-works.com,KRISTINE,GILL,1978-12-27,Soltero,F,120000,0,Secundaria Incompleta,Independiente,Si,Alta
342,dawn26@adventure-works.com,DAWN,SHEN,1967-05-29,Soltero,F,80000,2,Universitaria Postgrado,Independiente,No,Alta
366,madison47@adventure-works.com,MADISON,HUGHES,1965-11-09,Casado,F,130000,2,Universitaria Incompleta,Independiente,Si,Alta
384,sheena1@adventure-works.com,SHEENA,DENG,1981-01-26,Casado,F,120000,0,Secundaria Incompleta,Independiente,Si,Alta
396,mariah7@adventure-works.com,MARIAH,BARNES,1966-08-23,Casado,F,80000,5,Universitaria Completa,Independiente,Si,Alta
427,taylor63@adventure-works.com,TAYLOR,GARCIA,1977-04-03,Casado,F,80000,3,Universitaria Postgrado,Independiente,Si,Alta
437,tamara27@adventure-works.com,TAMARA,CHANDER,1967-10-12,Casado,F,80000,4,Universitaria Postgrado,Independiente,Si,Alta
452,kate19@adventure-works.com,KATE,ANAND,1964-07-11,Soltero,F,110000,2,Universitaria Incompleta,Independiente,Si,Alta
496,kristi12@adventure-works.com,KRISTI,SERRANO,1981-05-01,Soltero,F,120000,0,Secundaria Incompleta,Independiente,Si,Alta
573,denise16@adventure-works.com,DENISE,FERNANDEZ,1976-01-23,Casado,F,80000,5,Universitaria Completa,Independiente,Si,Alta
616,susan34@adventure-works.com,SUSAN,SHE,1982-03-12,Casado,F,80000,0,Universitaria Completa,Independiente,Si,Alta
619,gloria8@adventure-works.com,GLORIA,ALONSO,1981-08-28,Soltero,F,120000,0,Secundaria Incompleta,Independiente,Si,Alta
624,hailey0@adventure-works.com,HAILEY,STEWART,1966-08-28,Soltero,F,80000,5,Universitaria Postgrado,Independiente,Si,Alta
650,jennifer81@adventure-works.com,JENNIFER,JENKINS,1971-11-03,Soltero,F,120000,4,Universitaria Incompleta,Independiente,Si,Alta
651,samantha7@adventure-works.com,SAMANTHA,MILLER,1971-08-31,Soltero,F,150000,4,Universitaria Incompleta,Independiente,No,Alta
684,abigail16@adventure-works.com,ABIGAIL,HOWARD,1970-02-02,Soltero,F,120000,1,Secundaria Completa,Independiente,Si,Alta
727,ashley11@adventure-works.com,ASHLEY,THOMAS,1968-08-09,Soltero,F,110000,3,Universitaria Incompleta,Independiente,Si,Alta
759,brittney0@adventure-works.com,BRITTNEY,ZHANG,1978-12-03,Soltero,F,100000,0,Secundaria Incompleta,Independiente,Si,Alta
765,kristina17@adventure-works.com,KRISTINA,LOPEZ,1974-10-12,Soltero,F,100000,0,Universitaria Completa,Independiente,No,Alta
785,bonnie20@adventure-works.com,BONNIE,RAJE,1978-05-19,Casado,F,120000,0,Secundaria Incompleta,Independiente,Si,Alta
872,julia29@adventure-works.com,JULIA,WILSON,1969-01-19,Casado,F,100000,3,Universitaria Incompleta,Independiente,Si,Alta
885,ann10@adventure-works.com,ANN,MALHOTRA,1964-03-25,Soltero,F,110000,2,Universitaria Incompleta,Independiente,Si,Alta
886,adrienne12@adventure-works.com,ADRIENNE,BLANCO,1964-09-08,Casado,F,110000,2,Universitaria Incompleta,Independiente,Si,Alta
